train_loss2,epoch,train_loss1,step,val_acc1,val_acc2,train_acc1,test_acc,train_acc2
0.014513532631099224,0,0.013774178922176361,49,,,,,
0.014637407846748829,0,0.014940905384719372,99,,,,,
0.014370990917086601,0,0.014483334496617317,149,,,,,
0.014952784404158592,0,0.014065514318645,199,,,,,
0.014567085541784763,0,0.014323089271783829,249,,,,,
0.012965052388608456,0,0.013157167471945286,299,,,,,
,0,,311,0.39419999718666077,0.38609999418258667,,,
,0,,311,,,0.3210136294364929,0.44209998846054077,0.3248197138309479
0.011346334591507912,1,0.012510806322097778,349,,,,,
0.012686314061284065,1,0.012980703264474869,399,,,,,
0.01158341858536005,1,0.012257030233740807,449,,,,,
0.012800660915672779,1,0.013475138694047928,499,,,,,
0.012036582455039024,1,0.012488790787756443,549,,,,,
0.010898550972342491,1,0.0107225077226758,599,,,,,
,1,,623,0.47679999470710754,0.5015000104904175,,,
,1,,623,,,0.43895232677459717,0.5360999703407288,0.45915964245796204
0.009212138131260872,2,0.009865018539130688,649,,,,,
0.010037585161626339,2,0.010527452453970909,699,,,,,
0.011077244766056538,2,0.011278585530817509,749,,,,,
0.008453954011201859,2,0.008815141394734383,799,,,,,
0.010011446662247181,2,0.010294638574123383,849,,,,,
0.010620766319334507,2,0.010428600944578648,899,,,,,
,2,,935,0.5310999751091003,0.534600019454956,,,
,2,,935,,,0.512620210647583,0.5956000089645386,0.5290715098381042
0.008957643993198872,3,0.009205435402691364,949,,,,,
0.009932136163115501,3,0.010040509514510632,999,,,,,
0.008844717405736446,3,0.009025601670145988,1049,,,,,
0.010047993622720242,3,0.010276135988533497,1099,,,,,
0.00912411417812109,3,0.008908729068934917,1149,,,,,
0.008738169446587563,3,0.008611242286860943,1199,,,,,
,3,,1247,0.5677000284194946,0.59170001745224,,,
,3,,1247,,,0.5589693784713745,0.6378999948501587,0.5692107081413269
0.007022983860224485,4,0.007019410841166973,1249,,,,,
0.008859329856932163,4,0.007949735037982464,1299,,,,,
0.007308757398277521,4,0.007132023572921753,1349,,,,,
0.008656051009893417,4,0.008640849962830544,1399,,,,,
0.007329585030674934,4,0.00793149508535862,1449,,,,,
0.00905730202794075,4,0.009462357498705387,1499,,,,,
0.007090349216014147,4,0.0066126203164458275,1549,,,,,
,4,,1559,0.5264000296592712,0.5835999846458435,,,
,4,,1559,,,0.5953525900840759,0.5859000086784363,0.6062449812889099
0.006979621946811676,5,0.006144861225038767,1599,,,,,
0.006759728770703077,5,0.006728841457515955,1649,,,,,
0.0077883778139948845,5,0.008790404535830021,1699,,,,,
0.006182319950312376,5,0.0060574570670723915,1749,,,,,
