epoch,step,train_loss1,train_loss2,val_acc1,val_acc2,train_acc2,train_acc1,test_acc
0,49,0.01705991104245186,0.01743122935295105,,,,,
0,99,0.015614461153745651,0.0161419790238142,,,,,
0,149,0.014909951947629452,0.01404902245849371,,,,,
0,199,0.013974887318909168,0.013910059817135334,,,,,
0,249,0.01454368606209755,0.015051999129354954,,,,,
0,299,0.013354163616895676,0.01341185998171568,,,,,
0,312,,,0.3709999918937683,0.36469998955726624,,,
0,312,,,,,0.27152499556541443,0.267425000667572,0.38231804966926575
1,349,0.013231346383690834,0.013347565196454525,,,,,
1,399,0.013623694889247417,0.013575658202171326,,,,,
1,449,0.0125174755230546,0.013056516647338867,,,,,
1,499,0.01180688664317131,0.011338104493916035,,,,,
1,549,0.011502553708851337,0.011653590947389603,,,,,
1,599,0.01123078539967537,0.011490429751574993,,,,,
1,625,,,0.4320000112056732,0.4323999881744385,,,
1,625,,,,,0.3876500129699707,0.39204999804496765,0.4400711953639984
2,649,0.011850381270051003,0.012198438867926598,,,,,
2,699,0.011457576416432858,0.012140681967139244,,,,,
2,749,0.010727875865995884,0.011195410043001175,,,,,
2,799,0.010908067226409912,0.011246206238865852,,,,,
2,849,0.012226749211549759,0.012127774767577648,,,,,
2,899,0.012196151539683342,0.01221238262951374,,,,,
2,938,,,0.4832000136375427,0.47909998893737793,,,
2,938,,,,,0.4465250074863434,0.444225013256073,0.49100080132484436
3,949,0.011121362447738647,0.011933095753192902,,,,,
3,999,0.011822022497653961,0.011797342449426651,,,,,
3,1049,0.010148581117391586,0.010613921098411083,,,,,
3,1099,0.009997633285820484,0.01024772971868515,,,,,
3,1149,0.010218405164778233,0.010079857893288136,,,,,
3,1199,0.009339772164821625,0.00889984704554081,,,,,
3,1249,0.009322990663349628,0.00961595680564642,,,,,
3,1251,,,0.5121999979019165,0.5065000057220459,,,
3,1251,,,,,0.4879249930381775,0.4878750145435333,0.5259097814559937
4,1299,0.010779431089758873,0.010648677125573158,,,,,
4,1349,0.009437689557671547,0.009622049517929554,,,,,
4,1399,0.010329348035156727,0.010331711731851101,,,,,
4,1449,0.008985130116343498,0.009217610582709312,,,,,
4,1499,0.009936646558344364,0.009609721601009369,,,,,
4,1549,0.008879809640347958,0.009233171120285988,,,,,
4,1564,,,0.5548999905586243,0.5594000220298767,,,
4,1564,,,,,0.5219249725341797,0.5200999975204468,0.5576542615890503
5,1599,0.008375159464776516,0.00853797048330307,,,,,
5,1649,0.009728902950882912,0.008700243197381496,,,,,
5,1699,0.009050622582435608,0.007699818816035986,,,,,
5,1749,0.009294071234762669,0.008314361795783043,,,,,
5,1799,0.010052076540887356,0.008547934703528881,,,,,
5,1849,0.007528043817728758,0.0071318787522614,,,,,
5,1877,,,0.573199987411499,0.5494999885559082,,,
5,1877,,,,,0.5527250170707703,0.5499749779701233,0.5753560066223145
6,1899,0.006737649440765381,0.007124170195311308,,,,,
6,1949,0.008741903118789196,0.009196515195071697,,,,,
6,1999,0.008264899253845215,0.007395309396088123,,,,,
6,2049,0.00850395392626524,0.00817276630550623,,,,,
6,2099,0.00781810563057661,0.008074989542365074,,,,,
6,2149,0.009320950135588646,0.009108386933803558,,,,,
6,2190,,,0.5644999742507935,0.5859000086784363,,,
6,2190,,,,,0.5737749934196472,0.5704749822616577,0.5960245132446289
7,2199,0.00804977212101221,0.0071532344445586205,,,,,
7,2249,0.006525506731122732,0.006137246731668711,,,,,
7,2299,0.006374664604663849,0.006698960438370705,,,,,
7,2349,0.008534448221325874,0.008363035507500172,,,,,
7,2399,0.00831963773816824,0.007828752510249615,,,,,
7,2449,0.00839767511934042,0.008368970826268196,,,,,
7,2499,0.006553187966346741,0.0072272298857569695,,,,,
7,2503,,,0.5809999704360962,0.6104999780654907,,,
7,2503,,,,,0.5978749990463257,0.5936499834060669,0.6164952516555786
8,2549,0.006956102326512337,0.006395872216671705,,,,,
8,2599,0.009031160734593868,0.008599854074418545,,,,,
8,2649,0.006706684362143278,0.006500395014882088,,,,,
8,2699,0.005890002474188805,0.005786741618067026,,,,,
8,2749,0.005208729300647974,0.0060716732405126095,,,,,
8,2799,0.0075446623377501965,0.005953059531748295,,,,,
8,2816,,,0.6165000200271606,0.6348999738693237,,,
8,2816,,,,,0.6120250225067139,0.6071500182151794,0.6239121556282043
9,2849,0.0049555180594325066,0.004802150186151266,,,,,
9,2899,0.005604798439890146,0.005775524768978357,,,,,
9,2949,0.006233361549675465,0.0061407494358718395,,,,,
9,2999,0.006546228192746639,0.007063151802867651,,,,,
9,3049,0.006870216224342585,0.007871214300394058,,,,,
9,3099,0.005800723098218441,0.006109342444688082,,,,,
9,3129,,,0.5785999894142151,0.6316999793052673,,,
9,3129,,,,,0.6220499873161316,0.6214749813079834,0.6336036324501038
10,3149,0.004992838948965073,0.005028157494962215,,,,,
10,3199,0.007133794017136097,0.007817826233804226,,,,,
10,3249,0.0055931126698851585,0.00576059753075242,,,,,
10,3299,0.006829332560300827,0.0065242755226790905,,,,,
10,3349,0.0051535130478441715,0.005022767931222916,,,,,
10,3399,0.004546119831502438,0.005442948546260595,,,,,
10,3442,,,0.6581000089645386,0.6337000131607056,,,
10,3442,,,,,0.6397500038146973,0.6359000205993652,0.6535798907279968
11,3449,0.005215723533183336,0.006841673050075769,,,,,
11,3499,0.00582422548905015,0.00564973009750247,,,,,
11,3549,0.007715463172644377,0.007498054765164852,,,,,
11,3599,0.007083881180733442,0.005861510988324881,,,,,
11,3649,0.005555472802370787,0.004911818075925112,,,,,
11,3699,0.0057558887638151646,0.005550353322178125,,,,,
11,3749,0.00744894752278924,0.008288919925689697,,,,,
11,3755,,,0.6161999702453613,0.6414999961853027,,,
11,3755,,,,,0.6410750150680542,0.6413750052452087,0.6715783476829529
12,3799,0.004993791691958904,0.0047760712914168835,,,,,
12,3849,0.006294698920100927,0.005856996402144432,,,,,
12,3899,0.006217116955667734,0.0053912196308374405,,,,,
12,3949,0.005735210608690977,0.006071655545383692,,,,,
12,3999,0.006029966752976179,0.005197166930884123,,,,,
12,4049,0.0052962470799684525,0.006411157548427582,,,,,
12,4068,,,0.6514999866485596,0.6687999963760376,,,
12,4068,,,,,0.6543499827384949,0.6518250107765198,0.6740506291389465
13,4099,0.005769216921180487,0.005705850198864937,,,,,
13,4149,0.0043586790561676025,0.005011720582842827,,,,,
13,4199,0.00441612396389246,0.003997789230197668,,,,,
13,4249,0.006710555404424667,0.005601393990218639,,,,,
13,4299,0.005091664846986532,0.006268956698477268,,,,,
13,4349,0.0036594243720173836,0.004255001898854971,,,,,
13,4381,,,0.6402000188827515,0.6373000144958496,,,
13,4381,,,,,0.6634250283241272,0.6607999801635742,0.6788963675498962
14,4399,0.006106126122176647,0.005791482049971819,,,,,
14,4449,0.006455892231315374,0.006668088026344776,,,,,
14,4499,0.005060077644884586,0.004952961578965187,,,,,
14,4549,0.006410052999854088,0.0077970088459551334,,,,,
14,4599,0.004765090066939592,0.004507256206125021,,,,,
14,4649,0.0047497800551354885,0.005128853023052216,,,,,
14,4694,,,0.640999972820282,0.6650000214576721,,,
14,4694,,,,,0.6708999872207642,0.6666250228881836,0.6647547483444214
15,4699,0.007518292870372534,0.007504572160542011,,,,,
15,4749,0.0050221998244524,0.00489863520488143,,,,,
15,4799,0.004952017683535814,0.0050467937253415585,,,,,
15,4849,0.0077064260840415955,0.006957452278584242,,,,,
15,4899,0.005927783437073231,0.005485156551003456,,,,,
