train_loss,step,epoch,train_acc,test_acc
1.8439134359359741,49,0,,
1.876310110092163,99,0,,
1.8377161026000977,149,0,,
1.862351655960083,199,0,,
1.740011215209961,249,0,,
1.7999247312545776,299,0,,
1.704086422920227,349,0,,
,389,0,0.2801682651042938,0.4230000078678131
1.3383591175079346,399,1,,
1.2821221351623535,449,1,,
1.481881856918335,499,1,,
1.1784369945526123,549,1,,
1.3616878986358643,599,1,,
1.3674551248550415,649,1,,
1.411626935005188,699,1,,
1.244600772857666,749,1,,
,779,1,0.3802684247493744,0.4803999960422516
1.0884573459625244,799,2,,
0.9898512363433838,849,2,,
0.8745184540748596,899,2,,
0.9601271152496338,949,2,,
1.0308103561401367,999,2,,
0.9469780325889587,1049,2,,
1.0275226831436157,1099,2,,
1.081848382949829,1149,2,,
,1169,2,0.4221554398536682,0.5950000286102295
0.4895678758621216,1199,3,,
0.5863275527954102,1249,3,,
0.6018737554550171,1299,3,,
0.7679121494293213,1349,3,,
0.6602935791015625,1399,3,,
0.6480668783187866,1449,3,,
0.22872388362884521,1499,3,,
0.7096261978149414,1549,3,,
,1559,3,0.4550480842590332,0.5958999991416931
0.10301327705383301,1599,4,,
-0.0973433256149292,1649,4,,
-0.05144917964935303,1699,4,,
0.3858363628387451,1749,4,,
0.03494524955749512,1799,4,,
0.09467124938964844,1849,4,,
0.6026289463043213,1899,4,,
0.269961953163147,1949,4,,
,1949,4,0.4825921356678009,0.6949999928474426
-0.10389721393585205,1999,5,,
-0.2962759733200073,2049,5,,
-0.45172548294067383,2099,5,,
-0.2817866802215576,2149,5,,
-0.26703763008117676,2199,5,,
-0.39253413677215576,2249,5,,
-0.7692228555679321,2299,5,,
,2339,5,0.5061097741127014,0.6639999747276306
-0.7680336236953735,2349,6,,
-0.8658483028411865,2399,6,,
-0.6356782913208008,2449,6,,
-0.5988147258758545,2499,6,,
-0.6944715976715088,2549,6,,
-0.8936080932617188,2599,6,,
-0.8970884084701538,2649,6,,
-1.0089733600616455,2699,6,,
,2729,6,0.522576093673706,0.7445999979972839
-1.7551145553588867,2749,7,,
-1.4395092725753784,2799,7,,
-1.3404688835144043,2849,7,,
-1.1194210052490234,2899,7,,
-1.0792317390441895,2949,7,,
-1.0335867404937744,2999,7,,
-1.6587040424346924,3049,7,,
-1.4054139852523804,3099,7,,
,3119,7,0.5394030213356018,0.7511000037193298
-1.6450676918029785,3149,8,,
-1.955264687538147,3199,8,,
-1.677905559539795,3249,8,,
-1.922195315361023,3299,8,,
-2.3472650051116943,3349,8,,
-1.3664641380310059,3399,8,,
-1.2375595569610596,3449,8,,
-1.7559709548950195,3499,8,,
,3509,8,0.5500200390815735,0.7554000020027161
-3.05114483833313,3549,9,,
-3.0911171436309814,3599,9,,
-2.9036126136779785,3649,9,,
-2.18709659576416,3699,9,,
-2.192424774169922,3749,9,,
-2.3848488330841064,3799,9,,
-2.646804094314575,3849,9,,
-2.437300682067871,3899,9,,
,3899,9,0.5593149065971375,0.7854999899864197
-2.1013193130493164,3949,10,,
-1.8671956062316895,3999,10,,
-1.9932866096496582,4049,10,,
-2.372230052947998,4099,10,,
-2.9933152198791504,4149,10,,
-2.754781484603882,4199,10,,
-2.0209062099456787,4249,10,,
,4289,10,0.49202725291252136,0.7210999727249146
-2.616699457168579,4299,11,,
-2.9497785568237305,4349,11,,
-2.903752088546753,4399,11,,
-3.2247445583343506,4449,11,,
-3.638383150100708,4499,11,,
-3.3446249961853027,4549,11,,
-2.266223907470703,4599,11,,
-3.0626208782196045,4649,11,,
,4679,11,0.5237379670143127,0.7620999813079834
-3.109238862991333,4699,12,,
-3.3161282539367676,4749,12,,
-3.4728713035583496,4799,12,,
-3.087932586669922,4849,12,,
-2.902085542678833,4899,12,,
-3.081632137298584,4949,12,,
-3.3813576698303223,4999,12,,
-3.402414560317993,5049,12,,
,5069,12,0.5340144038200378,0.7483000159263611
-2.831451416015625,5099,13,,
-3.8918187618255615,5149,13,,
-4.084680557250977,5199,13,,
-4.261542797088623,5249,13,,
-3.4527454376220703,5299,13,,
-4.683884143829346,5349,13,,
-3.5122478008270264,5399,13,,
-4.025534152984619,5449,13,,
,5459,13,0.5445512533187866,0.7749000191688538
-4.602869033813477,5499,14,,
-4.1063642501831055,5549,14,,
-4.5368452072143555,5599,14,,
-4.244115829467773,5649,14,,
-5.27658748626709,5699,14,,
-4.993532180786133,5749,14,,
-4.381433010101318,5799,14,,
-4.567898750305176,5849,14,,
,5849,14,0.5516025424003601,0.7623000144958496
-4.58309268951416,5899,15,,
-4.914539813995361,5949,15,,
-4.8584794998168945,5999,15,,
-4.781792163848877,6049,15,,
-4.756087779998779,6099,15,,
-4.663341045379639,6149,15,,
-4.764659881591797,6199,15,,
,6239,15,0.5587339997291565,0.7728999853134155
-6.587145805358887,6249,16,,
-4.648177146911621,6299,16,,
-6.065589427947998,6349,16,,
-5.171778678894043,6399,16,,
-5.2916765213012695,6449,16,,
-5.456271171569824,6499,16,,
-5.609796524047852,6549,16,,
-5.2457356452941895,6599,16,,
,6629,16,0.5687700510025024,0.7843999862670898
-6.206423759460449,6649,17,,
-6.217557907104492,6699,17,,
-6.228344917297363,6749,17,,
-6.469688892364502,6799,17,,
-5.788759231567383,6849,17,,
-6.611865997314453,6899,17,,
-6.382045745849609,6949,17,,
-6.663114070892334,6999,17,,
,7019,17,0.5756810903549194,0.8011000156402588
-6.121574401855469,7049,18,,
-7.942795753479004,7099,18,,
-6.550350666046143,7149,18,,
-6.115547180175781,7199,18,,
-7.2461700439453125,7249,18,,
-7.253497123718262,7299,18,,
-7.600928783416748,7349,18,,
-6.176098823547363,7399,18,,
