step,train_loss,epoch,val_acc,val_loss,test_acc,train_acc
49,2.21736741065979,0,,,,
99,1.4933398962020874,0,,,,
149,1.327599048614502,0,,,,
199,1.3254878520965576,0,,,,
249,1.260744333267212,0,,,,
299,0.9177819490432739,0,,,,
311,,0,0.4731000065803528,1.611319899559021,,
311,,0,,,0.4927000105381012,0.36929085850715637
349,0.6109055876731873,1,,,,
399,0.6236926913261414,1,,,,
449,0.6278538107872009,1,,,,
499,0.6757634878158569,1,,,,
549,0.3842957615852356,1,,,,
599,0.3153332471847534,1,,,,
623,,1,0.5340999960899353,1.4665303230285645,,
623,,1,,,0.5616999864578247,0.5436698794364929
649,-0.064156174659729,2,,,,
699,-0.20672917366027832,2,,,,
749,0.08410811424255371,2,,,,
799,-0.039417266845703125,2,,,,
849,-0.32344043254852295,2,,,,
899,-0.23013031482696533,2,,,,
935,,2,0.6309999823570251,1.2226094007492065,,
935,,2,,,0.6578999757766724,0.6270783543586731
949,-0.5732473134994507,3,,,,
999,-0.8894124627113342,3,,,,
1049,-0.6259987354278564,3,,,,
1099,-0.7917944192886353,3,,,,
1149,-0.5000135898590088,3,,,,
1199,-1.103431224822998,3,,,,
1247,,3,0.6528000235557556,1.2272175550460815,,
1247,,3,,,0.6762999892234802,0.6841696500778198
1249,-1.5242927074432373,4,,,,
1299,-1.8008270263671875,4,,,,
1349,-1.7180867195129395,4,,,,
1399,-1.4468375444412231,4,,,,
1449,-1.7578799724578857,4,,,,
1499,-1.8000627756118774,4,,,,
1549,-1.5796834230422974,4,,,,
1559,,4,0.7128999829292297,1.0418974161148071,,
1559,,4,,,0.7515000104904175,0.7242838740348816
1599,-2.327775239944458,5,,,,
1649,-1.8887279033660889,5,,,,
1699,-2.5877888202667236,5,,,,
1749,-2.1888985633850098,5,,,,
1799,-2.0486197471618652,5,,,,
1849,-2.4085235595703125,5,,,,
1871,,5,0.6855000257492065,1.3195207118988037,,
1871,,5,,,0.7182999849319458,0.7506260275840759
1899,-3.3580150604248047,6,,,,
1949,-3.191748857498169,6,,,,
1999,-3.1677770614624023,6,,,,
2049,-3.253274440765381,6,,,,
2099,-2.745579242706299,6,,,,
2149,-3.4146316051483154,6,,,,
2183,,6,0.7628999948501587,0.9558259844779968,,
2183,,6,,,0.8026999831199646,0.7747145295143127
2199,-3.9037833213806152,7,,,,
2249,-3.976245880126953,7,,,,
2299,-3.7999870777130127,7,,,,
2349,-3.44789719581604,7,,,,
2399,-4.0595598220825195,7,,,,
2449,-3.810513496398926,7,,,,
2495,,7,0.7857000231742859,0.9502207040786743,,
