epoch,step,test_acc,train_acc,train_loss
43,16899,,,1.029998779296875
43,16949,,,0.9498482942581177
43,16999,,,0.9996339082717896
43,17049,,,0.9665287137031555
43,17099,,,1.0751776695251465
43,17149,,,1.0840808153152466
43,17159,0.527899980545044,0.7017027139663696,
44,17199,,,1.0880331993103027
44,17249,,,1.117715835571289
44,17299,,,0.935954749584198
44,17349,,,1.070942759513855
44,17399,,,1.1564760208129883
44,17449,,,1.1220953464508057
44,17499,,,0.9909330606460571
44,17549,,,1.1672649383544922
44,17549,0.6057000160217285,0.7023237347602844,
45,17599,,,1.0161346197128296
45,17649,,,1.186057448387146
45,17699,,,1.1157184839248657
45,17749,,,0.9673317074775696
45,17799,,,1.1494181156158447
45,17849,,,0.8746922016143799
45,17899,,,1.237251877784729
45,17939,0.5595999956130981,0.7006009817123413,
46,17949,,,1.0131725072860718
46,17999,,,1.05718994140625
46,18049,,,0.9446015357971191
46,18099,,,1.0138932466506958
46,18149,,,1.156821608543396
46,18199,,,1.1316075325012207
46,18249,,,1.1438829898834229
46,18299,,,1.281058430671692
46,18329,0.6007000207901001,0.700861394405365,
47,18349,,,0.8645741939544678
47,18399,,,0.8961440920829773
47,18449,,,1.0225666761398315
47,18499,,,1.2775776386260986
47,18549,,,1.0941015481948853
47,18599,,,1.0372896194458008
47,18649,,,1.1072114706039429
47,18699,,,1.2340493202209473
47,18719,0.6116999983787537,0.7054687738418579,
48,18749,,,0.7861288785934448
48,18799,,,0.940828800201416
48,18849,,,1.1415237188339233
48,18899,,,1.0619927644729614
48,18949,,,1.2303365468978882
48,18999,,,0.8839234709739685
48,19049,,,1.196283221244812
48,19099,,,1.0841680765151978
48,19109,0.5873000025749207,0.7060296535491943,
49,19149,,,1.1662415266036987
49,19199,,,0.9910086989402771
49,19249,,,1.083875060081482
49,19299,,,1.0925301313400269
49,19349,,,0.7798509001731873
49,19399,,,1.1739976406097412
49,19449,,,1.1115822792053223
49,19499,,,1.0125240087509155
49,19499,0.5740000009536743,0.7057091593742371,
50,19549,,,0.964698314666748
50,19599,,,1.2747821807861328
50,19649,,,0.9586679935455322
50,19699,,,1.204991102218628
50,19749,,,1.1740195751190186
50,19799,,,0.9813617467880249
50,19849,,,0.9670768976211548
50,19889,0.5867999792098999,0.7077924609184265,
51,19899,,,0.8455303907394409
51,19949,,,0.7609065771102905
51,19999,,,0.97536301612854
51,20049,,,0.9757122993469238
51,20099,,,1.0647262334823608
51,20149,,,1.2975952625274658
51,20199,,,0.9811221361160278
51,20249,,,0.9343856573104858
51,20279,0.5939000248908997,0.7103966474533081,
52,20299,,,0.8239807486534119
52,20349,,,0.8493607640266418
52,20399,,,0.9127617478370667
52,20449,,,1.1484248638153076
52,20499,,,1.354191780090332
52,20549,,,0.9126515984535217
52,20599,,,1.1457395553588867
52,20649,,,1.0263657569885254
52,20669,0.5645999908447266,0.7050080299377441,
53,20699,,,1.1294806003570557
53,20749,,,1.1054065227508545
53,20799,,,1.0480622053146362
53,20849,,,1.0065758228302002
53,20899,,,0.8184143900871277
53,20949,,,1.163731336593628
53,20999,,,1.1628981828689575
53,21049,,,1.0871243476867676
53,21059,0.5273000001907349,0.7067107558250427,
54,21099,,,0.8742345571517944
54,21149,,,0.93644779920578
54,21199,,,1.3526123762130737
54,21249,,,0.8634971976280212
54,21299,,,0.9389767050743103
54,21349,,,1.0340657234191895
54,21399,,,1.1123974323272705
54,21449,,,0.8721708655357361
54,21449,0.5891000032424927,0.7077924609184265,
55,21499,,,0.8704693913459778
55,21549,,,1.0781819820404053
55,21599,,,1.05121648311615
55,21649,,,1.077595591545105
55,21699,,,1.1284713745117188
55,21749,,,0.8906322717666626
55,21799,,,1.1270034313201904
55,21839,0.5878999829292297,0.7103365659713745,
56,21849,,,0.8487167358398438
56,21899,,,0.9608408212661743
56,21949,,,0.882696270942688
56,21999,,,0.9731732606887817
56,22049,,,1.125508189201355
56,22099,,,1.205599308013916
56,22149,,,1.0068734884262085
56,22199,,,1.13020920753479
56,22229,0.5516999959945679,0.7091947197914124,
57,22249,,,0.8388519287109375
57,22299,,,1.0084728002548218
57,22349,,,0.9375678300857544
57,22399,,,1.0843303203582764
57,22449,,,1.0871366262435913
57,22499,,,0.7475290298461914
57,22549,,,1.2174227237701416
57,22599,,,0.9262511134147644
57,22619,0.6003999710083008,0.7111178040504456,
58,22649,,,0.8732757568359375
58,22699,,,0.9609317779541016
58,22749,,,1.1107650995254517
58,22799,,,0.8871761560440063
58,22849,,,1.2812232971191406
58,22899,,,0.745691180229187
58,22949,,,1.2269030809402466
58,22999,,,1.0943286418914795
58,23009,0.5722000002861023,0.710356593132019,
59,23049,,,0.9386999011039734
59,23099,,,0.8487148880958557
59,23149,,,1.0901083946228027
59,23199,,,1.0637556314468384
59,23249,,,1.0644397735595703
59,23299,,,0.9386283159255981
59,23349,,,1.1039360761642456
59,23399,,,1.3346549272537231
59,23399,0.5878000259399414,0.7144631147384644,
60,23449,,,0.6997230648994446
60,23499,,,0.5246523022651672
60,23549,,,0.6754024028778076
60,23599,,,0.5541372895240784
60,23649,,,0.4336942136287689
60,23699,,,0.519402027130127
60,23749,,,0.44593146443367004
60,23789,0.7443000078201294,0.8439303040504456,
61,23799,,,0.49392765760421753
61,23849,,,0.3592081665992737
61,23899,,,0.3999732732772827
61,23949,,,0.377614289522171
61,23999,,,0.32354363799095154
61,24049,,,0.3191028833389282
61,24099,,,0.26362520456314087
61,24149,,,0.27350103855133057
61,24179,0.7483000159263611,0.8877403736114502,
62,24199,,,0.36712491512298584
62,24249,,,0.27957040071487427
62,24299,,,0.3651145398616791
62,24349,,,0.3095065951347351
62,24399,,,0.23915860056877136
62,24449,,,0.34854379296302795
62,24499,,,0.2557644546031952
62,24549,,,0.2016780972480774
62,24569,0.7556999921798706,0.9068108797073364,
63,24599,,,0.1568761020898819
63,24649,,,0.3615530729293823
63,24699,,,0.2815932333469391
63,24749,,,0.20431560277938843
63,24799,,,0.27554091811180115
63,24849,,,0.31531625986099243
63,24899,,,0.2122410386800766
63,24949,,,0.2641722857952118
63,24959,0.7577000260353088,0.9208734035491943,
64,24999,,,0.17828990519046783
64,25049,,,0.16827285289764404
64,25099,,,0.22325082123279572
64,25149,,,0.16967448592185974
64,25199,,,0.2513110339641571
64,25249,,,0.2057216763496399
64,25299,,,0.228273406624794
64,25349,,,0.23120781779289246
64,25349,0.758400022983551,0.9324118494987488,
65,25399,,,0.17586135864257812
65,25449,,,0.16287346184253693
65,25499,,,0.22284212708473206
65,25549,,,0.17721706628799438
65,25599,,,0.14871495962142944
65,25649,,,0.19016259908676147
65,25699,,,0.24369379878044128
65,25739,0.7588000297546387,0.9430288672447205,
66,25749,,,0.14538997411727905
66,25799,,,0.15601184964179993
66,25849,,,0.15444687008857727
66,25899,,,0.13323475420475006
66,25949,,,0.15105396509170532
66,25999,,,0.17825619876384735
66,26049,,,0.1430450677871704
66,26099,,,0.17288556694984436
66,26129,0.7569000124931335,0.952223539352417,
67,26149,,,0.17405617237091064
67,26199,,,0.11587768793106079
67,26249,,,0.13728822767734528
67,26299,,,0.1502503752708435
67,26349,,,0.1371578723192215
67,26399,,,0.09240793436765671
67,26449,,,0.06191953644156456
67,26499,,,0.12186871469020844
67,26519,0.7577999830245972,0.9603766202926636,
68,26549,,,0.13283351063728333
68,26599,,,0.10118100047111511
68,26649,,,0.1675902009010315
68,26699,,,0.06866761296987534
